Rank,Ticker,Sector,Industry,Universe,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago
349,SBCF,Financials,Regional Banks,S&P 600,106.31,74,44,41,72
350,BCPC,Materials,Specialty Chemicals,S&P 600,106.29,74,63,47,26
351,GMS,Industrials,Building Products,S&P 600,105.99,74,86,88,89
352,SXT,Materials,Specialty Chemicals,S&P 400,105.51,74,68,45,51
353,ROIC,Real Estate,Retail REITs,S&P 600,104.83,74,60,76,69
354,NCR,Information Technology,IT Consulting & Other Services,S&P 400,104.62,74,59,92,87
355,LXP,Real Estate,Diversified REITs,S&P 600,104.01,74,59,45,16
356,JCI,Industrials,Building Products,S&P 500,103.98,74,87,84,75
357,COTY,Consumer Staples,Personal Products,S&P 400,103.29,74,87,92,94
358,VLY,Financials,Regional Banks,S&P 400,103.14,73,51,67,78
359,GPMT,Financials,Mortgage REITs,S&P 600,102.82,73,72,91,89
360,MMI,Real Estate,Real Estate Services,S&P 600,102.79,73,50,33,16
361,BANC,Financials,Regional Banks,S&P 600,102.76,73,62,54,48
362,INFO,Industrials,Research & Consulting Services,S&P 500,102.45,73,79,69,46
363,TNDM,Health Care,Health Care Equipment,S&P 400,101.16,73,80,21,7
364,JBHT,Industrials,Trucking,S&P 500,99.7,73,54,41,49
365,ADS,Information Technology,Data Processing & Outsourced Services,S&P 400,99.01,73,71,89,92
366,NOV,Energy,Oil & Gas Equipment & Services,S&P 400,97.8,73,11,47,28
367,GVA,Industrials,Construction & Engineering,S&P 600,97.72,73,86,82,86
368,FOX,Communication Services,Movies & Entertainment,S&P 500,97.32,73,38,36,43
369,UDR,Real Estate,Residential REITs,S&P 500,95.68,73,77,82,40
370,ACN,Information Technology,IT Consulting & Other Services,S&P 500,95.64,73,76,63,45
371,ESS,Real Estate,Residential REITs,S&P 500,95.61,73,71,79,43
372,UE,Real Estate,Retail REITs,S&P 400,95.53,72,68,86,77
373,DXPE,Industrials,Trading Companies & Distributors,S&P 600,95.01,72,43,82,70
374,JPM,Financials,Diversified Banks,S&P 500,94.52,72,69,64,54
375,HXL,Industrials,Aerospace & Defense,S&P 400,93.73,72,51,65,71
376,PVH,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",S&P 500,93.57,72,64,75,84
377,CRM,Information Technology,Application Software,S&P 500,93.25,72,50,36,19
378,AVB,Real Estate,Residential REITs,S&P 500,93.18,72,69,79,34
379,DISH,Communication Services,Cable & Satellite,S&P 500,92.82,72,64,63,65
380,VG,Communication Services,Alternative Carriers,S&P 600,92.27,72,79,44,36
381,AXL,Consumer Discretionary,Auto Parts & Equipment,S&P 600,92.25,72,24,30,64
382,WST,Health Care,Health Care Supplies,S&P 500,92.11,72,92,68,32
383,JBT,Industrials,Industrial Machinery,S&P 600,91.89,72,72,62,60
384,AZO,Consumer Discretionary,Specialty Stores,S&P 500,91.36,72,70,65,40
385,CMG,Consumer Discretionary,Restaurants,S&P 500,90.98,72,88,76,30
386,EQR,Real Estate,Residential REITs,S&P 500,90.92,71,65,81,38
387,FIZZ,Consumer Staples,Soft Drinks,S&P 600,90.79,71,75,25,50
388,HBAN,Financials,Regional Banks,S&P 500,90.39,71,63,45,56
389,CMC,Materials,Steel,S&P 400,90.35,71,63,75,68
390,FSLR,Information Technology,Semiconductors,S&P 400,90.28,71,85,16,40
391,BHF,Financials,Life & Health Insurance,S&P 400,90.25,71,59,43,66
392,CBOE,Financials,Financial Exchanges & Data,S&P 500,89.77,71,69,65,19
393,BKNG,Consumer Discretionary,Internet & Direct Marketing Retail,S&P 500,89.71,71,48,34,58
394,PBCT,Financials,Thrifts & Mortgage Finance,S&P 500,89.19,71,47,37,61
395,FOXF,Consumer Discretionary,Auto Parts & Equipment,S&P 400,88.65,71,80,84,90
396,MUSA,Consumer Discretionary,Automotive Retail,S&P 400,88.51,71,75,24,18
397,BKE,Consumer Discretionary,Apparel Retail,S&P 600,88.22,71,72,92,91
398,EXPO,Industrials,Research & Consulting Services,S&P 600,88.16,71,85,24,34
399,PAYX,Information Technology,Data Processing & Outsourced Services,S&P 500,88.12,71,56,70,34
400,RSG,Industrials,Environmental & Facilities Services,S&P 500,87.97,70,71,57,26
401,NFG,Utilities,Gas Utilities,S&P 400,87.96,70,42,39,26
402,MSFT,Information Technology,Systems Software,S&P 500,87.39,70,79,65,36
403,GD,Industrials,Aerospace & Defense,S&P 500,86.6,70,59,56,37
404,RDNT,Health Care,Health Care Services,S&P 600,85.68,70,74,96,53
405,CLI,Real Estate,Office REITs,S&P 600,85.65,70,45,65,24
406,CATY,Financials,Regional Banks,S&P 400,85.31,70,65,48,62
407,MMSI,Health Care,Health Care Supplies,S&P 600,85.09,70,83,58,42
408,XHR,Real Estate,Hotel & Resort REITs,S&P 600,84.23,70,55,86,85
409,BBWI,Consumer Discretionary,Specialty Stores,S&P 500,83.47,70,90,98,98
410,LNTH,Health Care,Health Care Supplies,S&P 600,83.01,70,89,90,71
411,EPRT,Real Estate,Diversified REITs,S&P 600,82.5,70,77,85,70
412,BCC,Industrials,Building Products,S&P 600,82.43,70,48,14,83
