Rank,Industry,Sector,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
83,Specialty Chemicals,Materials,0.29,45,29,27,53,"ALB,AVNT,BCPC,CE,DD,ECL,FF,FOE,FUL,IFF,IOSP,KRA,KWR,LYB,MTX,NEU,NGVT,PPG,RPM,RYAM,SCL,SHW,SXT,TSE"
84,Reference,Reference,0.0,44,52,43,21,SPY
85,Water Utilities,Utilities,-7.76,43,61,23,3,"AWK,AWR,CWT,MSEX,WTRG"
86,Office REITs,Real Estate,-15.53,43,12,39,12,"ARE,BDN,BXP,CLI,CUZ,DEA,DEI,FSP,HIW,HPP,JBGS,KRC,OFC,OPI,SLG,VNO"
87,Insurance Brokers,Financials,-17.2,42,15,3,16,"AJG,AON,BRO,EHTH,MMC,SLQT,WLTW"
88,Agricultural & Farm Machinery,Industrials,-17.42,41,60,87,97,"AGCO,DE,LNN,TTC,TWI"
89,Airlines,Industrials,-17.65,41,4,31,81,"AAL,ALGT,ALK,DAL,HA,JBLU,LUV,SKYW,UAL"
90,Biotechnology,Health Care,-19.81,40,73,29,31,"AMGN,ARWR,BIIB,CARA,CHRS,CYTK,EBS,EGRX,ENTA,EXEL,GILD,INCY,LGND,MEDP,MRNA,MYGN,NBIX,NKTR,ORGO,QURE,REGN,RGEN,RGNX,SGEN,SPPI,UTHR,VCEL,VRTX,XNCR"
91,Communications Equipment,Information Technology,-20.12,39,40,33,27,"AAOI,ADTN,ANET,ARLO,CAMP,CIEN,CMTL,CSCO,DGII,EXTR,FFIV,HLIT,IDCC,JNPR,LITE,MSI,NTCT,NTGR,POLY,VIAV,VSAT"
92,Alternative Carriers,Communication Services,-20.96,39,59,35,10,"CCOI,IRDM,LUMN,VG"
93,Data Processing & Outsourced Services,Information Technology,-21.38,38,27,37,36,"ADP,ADS,BR,CNXC,CSGS,EVTC,EXLS,FIS,FISV,FLT,GPN,JKHY,MA,MMS,PAYX,PYPL,SABR,TTEC,V,WEX,WU"
94,Fertilizers & Agricultural Chemicals,Materials,-22.54,37,5,21,61,"AVD,CF,CTVA,FMC,MOS,SMG"
95,Hypermarkets & Super Centers,Consumer Staples,-23.05,37,61,22,2,"BJ,COST,PSMT,WMT"
96,Electronic Components,Information Technology,-24.73,36,49,44,61,"APH,BDC,ENPH,GLW,IIVI,KN,LFUS,ROG,SPWR,VSH"
97,Reinsurance,Financials,-28.01,35,17,5,29,"MTG,RE,RGA,RNR,SPNT,Y"
98,Home Furnishings,Consumer Discretionary,-28.85,35,50,55,82,"ETD,LEG,LZB,MHK,TPX"
99,Diversified Support Services,Industrials,-29.52,34,19,48,21,"CACI,CPRT,CTAS,CXW,IAA,KAR,KBR,LDOS,MANT,MATW,SAIC,UNF,VVI"
100,Building Products,Industrials,-31.78,33,39,28,59,"AAON,ALLE,AMWD,AOS,APOG,BCC,BLDR,CARR,FAST,FBHS,GFF,GMS,IIIN,JCI,LII,MAS,NX,OC,PGTI,ROCK,RUN,SSD,TREX,TT,UFPI"
101,Electronic Equipment & Instruments,Information Technology,-33.46,33,55,51,40,"BMI,CGNX,COHR,DAKT,FARO,ITRI,KEYS,NATI,OSIS,TRMB,VNT,ZBRA"
102,Consumer Electronics,Consumer Discretionary,-33.54,32,75,20,26,"GRMN,UEIC"
103,Industrial Gases,Materials,-34.94,31,15,12,13,"APD,LIN"
104,Health Care Equipment,Health Care,-35.83,31,70,51,29,"A,ABMD,ABT,ANGO,BAX,BDX,BSX,CNMD,CRY,CSII,CUTR,DHR,DXCM,EW,GKOS,GMED,HOLX,HSKA,IART,IDXX,INGN,ISRG,ITGR,IVC,LIVN,LMAT,MASI,MDT,MLAB,NTUS,NUVA,OFIX,PEN,PKI,RMD,SRDX,STAA,STE,SYK,TCMD,TFX,TNDM,VREX,ZBH,ZYXI"
105,Industrial Machinery,Industrials,-37.13,30,36,37,42,"ACA,AIN,B,CFX,CIR,CMI,CR,DCI,DOV,EPAC,ESE,FELE,FLOW,FLS,FTV,GGG,GTLS,GWW,HI,HSC,HUBB,IEX,IR,ITT,ITW,JBT,KMT,LECO,MIDD,MLI,MTOR,NDSN,NPO,OTIS,PH,PNR,PRLB,SNA,SPXC,SWK,SXI,TKR,TNC,VMI,WTS,XYL"
106,Internet & Direct Marketing Retail,Consumer Discretionary,-39.47,29,33,17,39,"AMZN,BKNG,EBAY,ETSY,EXPE,JD,MELI,PDD,PETS,TCOM"
107,Drug Retail,Consumer Staples,-40.34,29,32,4,13,WBA
108,Personal Products,Consumer Staples,-40.58,28,42,68,65,"COTY,EL,ELF,IPAR,MED,NUS,PG"
109,Tobacco,Consumer Staples,-40.69,27,14,25,18,"MO,PM,UVV,VGR"
110,Electronic Manufacturing Services,Information Technology,-40.9,27,35,26,35,"BHE,CTS,FN,IPGP,JBL,MEI,PLXS,SANM,TEL,TTMI"
111,Construction Machinery & Heavy Trucks,Industrials,-44.79,26,24,19,55,"ALG,ASTE,CAT,FSS,GATX,GBX,OSK,PCAR,TEX,TRN,WAB,WNC"
112,Paper Products,Materials,-46.22,25,18,13,11,"CLW,GLT,NP,SLVM,SWM,UFS"
113,Paper Packaging,Materials,-48.17,25,38,29,32,"AMCR,AVY,IP,PKG,SEE,SON,WRK"
114,Metal & Glass Containers,Materials,-48.57,24,25,11,33,"ATR,BLL,GEF,MYE,OI,SLGN"
115,Cable & Satellite,Communication Services,-49.49,23,41,35,15,"CABO,CHTR,CMCSA,DISH"
116,Homebuilding,Consumer Discretionary,-50.44,23,47,15,62,"BLD,CCS,CVCO,DHI,IBP,KBH,LEN,LGIH,MDC,MHO,MTH,NVR,PHM,TMHC,TOL,TPH"
117,Leisure Products,Consumer Discretionary,-50.71,22,56,62,64,"BC,ELY,HAS,MAT,PII,PTON,RGR,THO,VSTO,YETI"
118,Pharmaceuticals,Health Care,-53.71,21,7,23,5,"ABBV,AMPH,ANIP,COLL,CORT,CTLT,ENDP,INVA,JAZZ,JNJ,LLY,MRK,OGN,PAHC,PBH,PCRX,PFE,PRGO,SUPN,VNDA,VTRS,ZTS"
119,Office Services & Supplies,Industrials,-55.54,21,23,73,52,"HNI,MLHR,MSA,PBI,TILE"
120,Independent Power Producers & Energy Traders,Utilities,-68.26,20,46,18,24,"AES,NRG"
121,Distillers & Vintners,Consumer Staples,-68.44,19,17,19,20,"BF.B,MGPI,STZ"
122,Health Care Supplies,Health Care,-68.94,19,53,24,17,"ALGN,ANIK,AVNS,BLFS,COO,HAE,ICUI,LNTH,MMSI,NEOG,NVST,OSUR,QDEL,VIVO,WST,XRAY"
123,Managed Health Care,Health Care,-70.31,18,27,30,17,"ANTM,CI,CNC,HQY,HUM,MGLN,MOH,UNH"
124,Broadcasting,Communication Services,-70.64,17,13,43,70,"AMCX,DISCA,DISCK,SIRI,SSP,TGNA"
125,Food Retail,Consumer Staples,-71.13,17,21,7,19,"CASY,GO,KR,SFM,UNFI"
126,Home Improvement Retail,Consumer Discretionary,-71.36,16,25,1,41,"HD,LL,LOW"
127,Health Care Distributors,Health Care,-72.73,15,45,58,31,"ABC,BMY,CAH,HSIC,MCK,OMI,PDCO,WAT"
128,Specialized Finance,Financials,-73.79,15,11,8,9,"EFC,PRG"
129,Health Care Services,Health Care,-75.71,14,49,57,46,"ADUS,AMED,AMN,CCRN,CHE,CRVL,CVET,CVS,DGX,FLGT,LH,LHCG,MD,NEO,PGNY,PNTG,RCM,RDNT,TRHC,TVTY"
130,Integrated Telecommunication Services,Communication Services,-77.18,13,13,11,1,"ATNI,CNSL,T,TDS,VZ"
131,Gas Utilities,Utilities,-79.44,13,7,10,8,"ATO,CPK,NFG,NJR,NWN,OGS,SJI,SR,SWX,UGI"
132,Restaurants,Consumer Discretionary,-80.67,12,37,71,73,"BJRI,BLMN,CAKE,CBRL,CHUY,CMG,DIN,DPZ,DRI,EAT,FRGI,JACK,LOCO,MCD,PLAY,PZZA,RRGB,RUTH,SBUX,SHAK,TXRH,WEN,WING,YUM"
133,Commercial Printing,Industrials,-81.78,11,9,63,44,"BRC,DLX"
134,Packaged Foods & Meats,Consumer Staples,-92.62,11,6,9,5,"BGS,CAG,CALM,CPB,CVGW,FDP,FLO,GIS,HAIN,HRL,HSY,JBSS,JJSF,K,KHC,LANC,LW,MDLZ,MKC,POST,PPC,SAFM,SENEA,SJM,SMPL,THS,TR,TSN,USNA"
135,Multi-Utilities,Utilities,-93.52,10,20,5,6,"AEE,AVA,BKH,CMS,CNP,DTE,ES,EXC,MDU,NEE,NI,NWE,OGE,PNW,SRE,XEL"
