Rank,Industry,Sector,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
71,Packaged Foods,Consumer Defensive,90.82,56,37,24,26,"LEXX,LSF,BRFS,FRPT,FREE,BRBR,PPC,LFVN,STKL,CENT,LWAY,POST,UTZ,NOMD,CENTA,FARM,INGR,LANC,CVGW,JVA,SENEA,JBSS,PETZ,LW,SENEB,FLO,BGS,KHC,BRID,HRL,K,GIS,CPB,SJM,MKC,CAG,SMPL,JJSF,DAR,THS,NAII,HAIN,BYND,HLF,BTTR,PLAG,FAMI,NUZE,SNAX"
72,Trucking,Industrials,90.82,56,67,29,59,"SAIA,DSKE,TFII,ARCB,ULH,ODFL,CVLG,KNX,MRTN,WERN,SNDR,BEST,HTLD,YGMZ,PTSI"
73,REIT—Specialty,Real Estate,90.71,55,36,56,19,"CXW,IRM,UNIT,OUT,LAMR,EQIX,WY,RYN,PCH,FPI,GLPI,HASI,CCI,SBAC,PW"
74,Department Stores,Consumer Cyclical,90.54,54,71,79,1,"M,DDS,JWN,KSS,CBD"
75,Healthcare Plans,Healthcare,90.48,54,79,80,64,"OSCR,MOH,CI,CNC,CVS,UNH,CLOV,HUM,ALHC,MPLN"
76,Electrical Equipment & Parts,Industrials,90.38,53,56,27,85,"VRT,POWL,AZZ,ESP,ULBI,AYI,NVT,HUBB,HOLI,ATKR,CBAT,WIRE,SVT,HAYW,IPWR,PPSI,BMI,FLUX,BDC,ENS,AEIS,PLPC,APWC,RFIL,ENR,KE,OESX,LTBR,OPTT,POLA,FCEL,BE,EOSE,PLUG,EAF,BW,MVST"
77,Shell Companies,Financial Services,90.35,53,61,38,48,"DWAC,DWACU,ARRWU,MTAL,TWLVU,CLOE,ACBA,TRON,MACA,NBSTU,COOLU,CHAA,KRNLU,ARYD,OCAXU,BREZ,OSI,GAMCU,GPACU,PMGM,PLMIU,PMGMU,WINV,CONXU,JWSM,GPAC,PFTAU,PLMI,SLAMU,PUCK,GAMC,ROSS,PPHP,XFINU,CONX,PUCKU,KRNL,BITE,ARRW,TWOA,OCAX,MAQCU,SWSS,NBST,BLUA,TWLV,COOL,TRTL,PFTA,CVII,SLAM,KCGI,IXAQU,HYAC,MAQC,MBTC,RMGC,RMGCU,SWAG,KORE,DHCAU,ADOC,WALD,DHCA,AGBA,NXU"
78,Discount Stores,Consumer Defensive,90.27,52,40,39,17,"COST,TGT,WMT,OLLI,PSMT,BJ,DG,DLTR,BIG"
79,Security & Protection Services,Industrials,90.24,51,32,33,32,"CIX,MG,ARLO,REZI,NSSC,NL,VRRM,ALLE,MSA,BCO,BRC,ADT,SNT,DGLY,VRME,EVLV,UUU,BKYI,SPCB"
80,Insurance—Reinsurance,Financial Services,90.08,51,48,77,77,"RGA,SPNT,RNR,GLRE,OXBR,MHLD"
81,REIT—Diversified,Real Estate,89.64,50,62,66,46,"OGCP,FISK,GOODN,DBRG,SQFTP,MDRRP,ESRT,ESBA,GOODO,MDRR,SQFT,OLP,GOOD,EPRT,BRSP,UE,CTO,LXP,BNL,VICI,NREF,WPC,CLPR,SAFE,BRDG"
82,Entertainment,Communication Services,89.5,49,30,22,53,"KUKE,LVO,NFLX,HUYA,LYV,CNK,DIS,RSVR,MSGE,EDR,LBRDP,WMG,BATRA,CMCSA,BATRK,MSGS,LBTYB,IMAX,LBTYA,MCS,LBTYK,RDIB,ROKU,CHTR,RDI,HOFV,DLPN,LBRDK,LBRDA,RSVRW,WOW,AMC"
83,Oil & Gas Integrated,Energy,89.48,49,37,54,92,"YPF,IMO,PBR,SU,CVE,E,TTE,BP,XOM,EC,CVX,TGS,NFG,SLNG,EQNR,AE,SSL"
84,Restaurants,Consumer Cyclical,89.38,48,52,48,49,"TAST,WING,SHAK,PLAY,TXRH,KRUS,CMG,PBPB,EAT,DPZ,FATBB,ARMK,ARCO,QSR,FAT,BJRI,FATBP,CNNE,BLMN,DRI,CAKE,YUM,BH,GTIM,MCD,RAVE,SBUX,NATH,PZZA,JACK,WEN,CHUY,BDL,LOCO,DIN,YUMC,ARKR,DENN,CBRL,RICK,RRGB,STKS,NDLS,BFI,WNW"
85,REITâ€”Specialty,Real Estate,89.11,48,28,50,15,"AFCG,AMT"
86,REITâ€”Mortgage,Real Estate,89.05,47,53,70,82,"ACR,AOMR,AGNCP,AGNCO,AGNCM,ARI,AGNCN,AGNC,ABR,ARR,ACRE,AJX"
87,Gold,Basic Materials,89.03,46,8,41,37,"GAU,HMY,THM,NGD,IAG,PZG,EGO,AU,OR,KGC,SA,VGZ,AEM,GFI,AGI,CDE,EQX,ORLA,WPM,USAU,CGAU,SAND,AAU,RGLD,DRD,GOLD,TRX,FNV,NFGC,HL,GLDG,CMCL,NEM,BTG,SBSW,GORO,NG,SSRM"
88,Farm & Heavy Construction Machinery,Industrials,89.01,46,64,46,48,"REVG,UGRO,PCAR,XOS,CAT,OSK,HY,MNTX,ALG,CMCO,TEX,WNC,GENC,ARTW,ASTE,TWI,DE,CNHI,AGCO,LNN,MTW,HYFM,SHYF,LEV,IDEX"
89,Household & Personal Products,Consumer Defensive,88.96,45,41,19,46,"ELF,HIMS,DOGZ,NATR,ACU,CL,SPB,CHD,PG,HELE,COTY,CLX,KMB,UL,IPAR,EPC,EL,UG,USNA,NWL,MTEX,EWCZ,SKIN,NUS,TANH"
90,Other Precious Metals & Mining,Basic Materials,88.83,45,10,23,22,"BVN,GATO,GROY,MUX,PPTA,SILV,ITRG,ASM,PLG,HYMC,MTA,NEWP,AUMN"
91,Specialty Business Services,Industrials,88.16,44,41,72,47,"CBZ,BV,VVI,CPRT,SP,RBA,KODK,CTAS,CVEO,OMEX,GPN,DLHC,FA,PAYS,CASS,QUAD,WHLM,MMS,PFMT,SGRP,ACTG,UNF,ABM,ARC,TISI,DSS,AGFY,EJH"
92,Oil & Gas E&P,Energy,88.13,43,7,16,72,"VIST,SM,GPOR,FANG,EGY,OVV,MTDR,CNQ,SWN,ERF,SBOW,PXD,CRC,AR,DMLP,CKX,CNX,MGY,CPG,RRC,NOG,COP,MRO,HES,MUR,CHK,EOG,CTRA,KRP,REI,OXY,TPL,DVN,BATL,CPE,BSM,TELL,BRY,BRN,PNRG,GTE,NEXT,GPRK,EPSN,HPK,SD,REPX,PHX,SBR,MXC,EPM,CRT,EQT,AMPY,TALO,APA,PED,VET,MVO,KOS,PRT,CRK,CLMT,VOC,SJT,USEG,PVL,PBT,WTI,HUSA,MTR,INDO,CEI"
93,REITâ€”Retail,Real Estate,88.09,43,62,54,51,"ALX,AKR,ADC"
94,Grocery Stores,Consumer Defensive,88.02,42,34,49,40,"SFM,NGVC,KR,CASY,VLGEA,ASAI,ACI,WMK,GO,IMKTA,DNUT,ARKO,DDL"
95,Food Distribution,Consumer Defensive,87.69,41,46,43,37,"USFD,PFGC,CHEF,ANDE,SYY,DIT,WILC,SPTN,HFFG,UNFI"
96,REIT—Hotel & Motel,Real Estate,87.62,41,33,45,25,"PK,RHP,HST,XHR,RLJ,PEB,DRH,SHO,IHT,CLDT,INN,FCPT,SOHOO,SOHON,SOHOB,SOHO,SVC,BHR"
97,Gambling,Consumer Cyclical,87.51,40,50,39,91,"DKNG,RSI,AGS,CPHC,ACEL,CHDN,GAN,GAMB,IGT,SBET,EVRI"
98,Drug Manufacturers—General,Healthcare,87.41,40,35,17,69,"LLY,GSK,OGN,MRK,NVS,JNJ,AZN,SNY,GILD,BMY,PFE,BIIB,GRFS"
99,Telecom Services,Communication Services,87.39,39,59,58,72,"CXDO,ANTE,VEON,IDT,SPOK,USM,TDS,TIMB,RDCM,TEO,CNSL,PHI,FYBR,IDCC,VIV,KT,VZ,TMUS,TIGO,TKC,T,GSAT,SKM,TEF,CHT,ATEX,ORAN,AMX,RBBN,TLK,ATUS,RCI,CCOI,VOD,TU,LUMN,ATNI,SHEN,SIFY,BCE,LILAK,LILA,OOMA,GOGO,CABO,ASTS,IRDM,UCL,VATE"
100,Banks—Regional,Financial Services,87.1,38,57,82,24,"BMA,SUPV,FFNW,INBK,GGAL,HMST,BBAR,CUBI,KB,FCNCA,SHG,BLX,MBIN,CIB,ITUB,BAP,DB,FITB,BPOP,IFS,OPHC,WAL,FRST,WF,KEY,CZWI,FUNC,ISTR,CFBK,LOB,MFG,CSTR,WTFC,RBKB,FBP,PNFP,FNWB,UNB,HBAN,CNOBP,BFIN,IBCP,FULTP,SNV,RMBI,ORRF,MCBS,PFBC,CALB,OFG,IBOC,CFG,FHN,FCNCP,CADE,PNC,TCBIO,USB,PEBK,ZION,MBINO,WBS,GCBC,PROV,BFST,FSFG,UMBF,OPBK,SFBS,IBN,EQBK,MBINN,CWBC,BOH,RBB,BCH,AX,LYG,IROQ,PRK,QCRH,BANC,BSVN,MTB,FNB,NKSH,BSAC,HBANM,CFB,CCNEP,PNFPP,NBN,FITBO,MBNKP,FSEA,FITBP,WMPN,VLYPP,RF,UCBIO,CMA,HTLFP,LKFN,UBFO,MNSBP,MBINP,FUSB,ONB,SMMF,WNEB,TFC,AVAL,UNTY,FITBI,UBCP,ESQ,FHB,WSBCP,CVCY,SFBC,OCFCP,TECTP,HOPE,MGYR,MBWM,CPF,BWBBP,SSB,GBNY,GBCI,WTFCM,BUSE,RBCAA,DCOMP,AUB,BOTJ,FULT,FBK,ESSA,FRBA,FBIZ,OZK,CATC,FMBH,WTFCP,BKU,CVLY,GABC,ZIONO,PVBC,MSBI,CHCO,CFR,TRMK,EVBN,HWC,HTBI,BOKF,FFIN,FSBW,NRIM,SRCE,WSFS,BCML,FXNC,FCBC,FRME,FCAP,CBAN,UBSI,CATY,HBNC,CBNK,HOMB,COFS,FSBC,LSBK,FVCB,PBFS,GNTY,BSBR,STBA,ATLO,CBFV,OBT,TCBI,SBFG,HMNF,NBHC,PDLB,FBNC,FFWM,BWB,SFNC,IBTX,OVBC,BFC,PBBK,CTBI,PB,FMNB,CCNE,FGBIP,SFST,EBMT,BCOW,HBCP,EBC,VLYPO,PCB,TOWN,CHMG,FISI,CBSH,LARK,CNOB,FFBC,WABC,HWBK,PFC,GLBZ,CASH,BY,WSBC,MCBC,NECB,RNST,BWFG,BBDO,PEBO,HTH,SPFI,TCBC,CVBF,CULL,HTLF,TFSL,BBD,FCF,LCNB,THFF,MOFG,BSBK,HBT,SBCF,NWBI,MVBF,HFWA,BANF,TBBK,PKBK,BPRN,BSRR,PLBC,BRKL,HTBK,BANR,CFFN,SMBC,UVSP,FCCO,RRBI,BHLB,NBTB,GSBC,OPOF,PPBI,VBFC,CAC,FNLC,FIBK,WTBA,FDBC,AUBN,BHB,FMAO,HONE,FGBI,SBSI,SBT,CCBG,BLFY,UCBI,OVLY,TSBK,PFIS,VBTX,CZNC,OCFC,WAFD,FBMS,NWFL,FRAF,MCB,ASRV,CBU,PBHC,OSBC,SYBT,TCBK,EFSC,SMBK,CCB,FNCB,CARE,RVSB,HFBL,TRST,PWOD,CLBK,FLIC,HDB,SASR,EBTC,INDB,MPB,CIVB,HAFC,WSBF,COLB,SHBI,CFFI,VABK,EGBN,NFBK,PFS,DCOM,TMP,BMRC,BCBP,WASH,MRBK,HIFS,MBCN,PGC,LBAI,VLY,FFIC,KFFB,MNSB,SSBI,BYFC,TBNK,KRNY,MYFW,CARV,PNBK,BRBS,NYCB"
101,REIT—Mortgage,Real Estate,87.02,38,32,64,61,"SEVN,SACH,LFT,NYMTN,NYMTL,PMT,MFA,NYMTM,DX,TRTX,LADR,NLY,MITT,EARN,ORC,LOAN,BXMT,STWD,IVR,TWO,GPMT,RWT,CIM,RC,KREF,CHMI,NYMT"
102,Metal Fabrication,Industrials,86.9,37,45,66,68,"WOR,MLI,HAYN,ATI,CRS,IIIN,NWPX,PRLB,HIHO,MEC,RYI,AP,VMI,ALPP,SGBX"
103,Chemicals,Basic Materials,86.81,37,18,27,27,"CE,TROX,MTX,DOW,EMN,BAK,VHI,WLKP,RYAM,MEOH,FF,HUN,APD,ASIX,SQM,LXU"
104,Medical Care Facilities,Healthcare,86.42,36,54,32,31,"TALK,AVAH,THC,PNTG,DVA,BKD,NHC,UHS,ENSG,CMPS,HCA,CHE,EHC,ICCM,CCEL,USPH,SEM,ACHC,JYNT,HCSG,ADUS,AMS,AMED,OPCH,RHE,SMTI,FMS,LFST,SGRY,CYH,MD,ATIP,AMN,INNV,MODV,AIH,NVOS,CCM,AGL,OTRK"
105,REIT—Retail,Real Estate,86.32,35,43,58,42,"MAC,SKT,SPG,WHLRD,WSR,WHLRP,SRG,SITC,PECO,FRT,NNN,BRX,BFS,EPR,NTST,KRG,KIM,REG,PINE,ROIC,O,GTY,WHLR"
106,Scientific & Technical Instruments,Technology,85.66,35,54,25,17,"WRAP,COHR,VNT,MKSI,GRMN,ITRI,TRMB,FTV,MINDP,FARO,NOVT,ELSE,TDY,KEYS,VPG,ESE,CGNX,SOTK,ST,ZEPP,MLAB,MVIS,GNSS,WATT,LUNA,MIND,FCUV"
107,Specialty Retail,Consumer Cyclical,85.54,34,27,33,20,"HNST,WSM,DKS,REAL,BWMX,HIBB,MUSA,ASO,BARK,BBW,AZO,BBWI,ORLY,ULTA,FLWS,AAP,EYE,TSCO,LE,ODP,BBY,KAR,FIVE,RH,GPC,LIVE,SBH,MNSO,WINA,HZO,KIRK,CONN,BLNK,GME,ELA,AAN,EVGO,YSG,SFIX,BGFV,BNED,TCS,WOOF,CHPT,JOAN,NVVE"
108,REIT—Industrial,Real Estate,85.47,33,51,61,42,"IIPR,ILPT,PLD,LANDM,TRNO,EGP,LANDO,CUBE,STAG,FR,PSA,EXR,NSA,PLYM,REXR,SELF,LAND,COLD"
109,REIT—Healthcare Facilities,Real Estate,85.06,33,55,70,61,"GEO,CTRE,SBRA,NHI,WELL,DHC,OHI,HTIA,LTC,VTR,GMRE,DOC,CHCT,UHT,HR,MPW"
110,Electronic Components,Technology,84.94,32,65,45,34,"CLS,KOPN,JBL,BELFA,FN,LGL,APH,ELTK,BHE,SANM,BELFB,OSIS,FLEX,LINK,LYTS,GLW,TEL,CTS,TTMI,NSYS,SGMA,LPTH,PLXS,REFR,DAIO,LFUS,DSWL,ROG,OUST,VICR,IMTE,VIAO,CPSH,WBX,RELL,NEON,MEI,KULR,MMAT"
111,Lumber & Wood Production,Basic Materials,84.83,32,29,40,45,"BCC,UFPI,JCTCF,WFG,EVA"
112,Utilities—Regulated Electric,Utilities,84.63,31,39,64,49,"KEP,CEPU,EDN,EBR,VIASP,NGG,ETR,DUK,VIA,ENIC,GNE,FE,PPL,KEN,DTE,EIX,SO,PAM,CMS,FTS,ED,D,CNP,OGE,PCG,EVRG,LNT,PNW,WEC,ES,POR,IDA,NEE,PNM,XEL"
113,Specialty Chemicals,Basic Materials,84.53,30,24,36,50,"NEU,KOP,HWKN,KRO,ODC,SHW,NTIC,LIN,ECL,RPM,WDFC,ESI,AVTR,WLK,CBT,IOSP,OLN,BCPC,LYB,ASH,FUL,AXTA,IFF,HDSN,AVNT,KWR,DD,SXT,PPG,SCL,CMT,OEC,FSI,CC,LOOP,ECVT,NGVT,DNMR,ALTO,LWLG,GURE,ALB,TG,GPRE,SNES,TSE,GEVO,CNEY,CRKN"
114,Airlines,Industrials,84.19,30,76,56,14,"SKYW,HA,RYAAY,JBLU,ULCC,DAL,CPA,AAL,UAL,LUV,ALK,AZUL,SNCY,ALGT,VLRS,MESA,SAVE"
115,REIT—Office,Real Estate,84.1,29,45,87,56,"SLG,COR,DLR,VNO,HIW,FSP,JBGS,CUZ,BXP,KRC,DEI,PSTL,EQC,BDN,HPP,PDM,PGRE,CMCT,DEA,NYC,CIO,GNL,OPI"
116,REITâ€”Residential,Real Estate,84.09,29,25,42,41,"AMH,AIV,AIRC"
117,Real Estate Services,Real Estate,84.06,28,38,48,24,"REAX,MLP,AXR,NMRK,JLL,CBRE,TCI,FSV,CIGI,BPYPO,CSGP,BPYPP,CWK,FRPH,MAYS,MMI,CSR,GBR,RMR,GYRO,OPEN,OPAD,LODE,BEKE,LEJU,MDJH,RDFN,EXPI,DOMA,FTHM,DUO,KW,RMAX,UK"
118,Home Improvement Retail,Consumer Cyclical,83.46,27,43,52,16,"FND,HD,LOW,TTSH,HVT,LESL,GRWG,LL"
119,Integrated Freight & Logistics,Industrials,83.26,27,27,37,66,"XPO,JBHT,FDX,EXPD,LSTR,HUBG,AIRT,AIRTP,UPS,ZTO,RLGT,CHRW,CYRX,ATSG,FWRD"
120,Farm Products,Consumer Defensive,83.25,26,21,15,27,"VITL,CALM,AVO,LMNR,CHSCP,TSN,CHSCN,CHSCO,AGRO,CHSCM,CHSCL,ALCO,LND,FDP,BG,VFF,ADM,AQB,SANW,BHIL"
121,Utilities—Regulated Gas,Utilities,83.11,25,22,20,16,"SPH,SWX,ATO,UGIC,RGCO,NI,NFE,SR,UGI,NJR,CPK,NWN,OGS,BIPC"
122,Diagnostics & Research,Healthcare,82.98,25,49,21,9,"SERA,NOTV,STIM,BVS,MEDP,NTRA,TWST,CELC,RDNT,ICLR,GTH,CRL,OPGN,IQV,RNLX,WAT,A,DHR,OLK,TMO,STRRP,DXCM,PHG,CDNA,IDXX,CSTL,MTD,VNRX,MYGN,QGEN,LH,AWH,ENZ,DGX,PSNL,MXCT,NRC,SHC,CODX,BDSX,STRR,NEO,XGN,ANIX,SENS,BMRA,ILMN,PRPO,EXAS,NEOG,LNTH,PMD,FLGT,GENE,ONVO,CHEK,CNTG,NDRA,TRIB,QDEL,GH,BNR,DRIO,TTOO,OPK,PACB,APDN,BNGO,ME,DMTK,AXDX,MOTS"
123,Utilities—Regulated Water,Utilities,82.81,24,22,46,58,"ARIS,SBS,ZWS,CWCO,GWRS,CDZIP,WTRG,PCYO,CWT,AWK,YORW,AWR,SJW,MSEX,CDZI"
124,REIT—Residential,Real Estate,82.76,24,19,35,29,"UMH,ESS,INVH,EQR,AVB,SUI,IRT,CPT,ELS,MAA,UDR,BRT,NXRT"
125,Airports & Air Services,Industrials,82.6,23,44,74,91,"AER,ASR,CAAP,PAC,OMAB,BLDE,ASLE"
126,Oil & Gas Drilling,Energy,82.51,22,5,8,97,"PDS,HP,BORR,PTEN,NBR,RIG,ICD"
127,Utilitiesâ€”Regulated Electric,Utilities,82.08,22,9,11,14,"AGR,AEP,AEE"
128,Auto & Truck Dealerships,Consumer Cyclical,81.93,21,8,21,43,"JZXN,RUSHA,RUSHB,KMX,AN,LAD,GPI,SAH,PAG,KFS,ABG,CARS,DRVN,CRMT,RMBL,VRM,KXIN"
129,Auto Parts,Consumer Cyclical,81.27,20,30,20,55,"MOD,HYLN,ALSN,ALV,MLR,GTX,GNTX,DORM,STRT,LKQ,LEA,THRM,AEVA,MPAA,CPS,MGA,GT,SRI,SYPR,ADNT,BWA,KNDI,SMP,AXL,VC,CVGI,MNRO,WPRT,APTV,SUP,DAN,CAAS,QS,XPEL,PLOW,FRSX,INVZ,WKSP,LIDR"
130,Drug Manufacturers—Specialty & Generic,Healthcare,81.1,20,25,3,30,"SLDB,PRFX,EOLS,COLL,OPTN,TEVA,ELAN,GHSI,AVDL,CTLT,RDY,VTRS,BHC,TARO,OGI,INCR,DRRX,CYTH,SUPN,QLI,CLVR,KMDA,CPIX,CRON,PRGO,ZTS,DVAX,PAHC,PETQ,TAK,ORGO,PROC,IRWD,PRPH,PTPI,PCRX,SNDL,TXMD,SCYX,TLRY,HROW,RMTI,ZOM,RDUS,YCBD,HUGE,EBS,EGRX,IMCC,SXTC,ASRT,THTX,FLGC,EVOK,CPHI,SNOA,RDHL,CGC,XXII"
131,Medical Devices,Healthcare,80.91,19,46,14,11,"MYO,NPCE,BWAY,RXST,ELMD,NVNO,IINN,SRTS,BTCY,ITGR,PRCT,ECOR,QTRX,MDXG,BRKR,ZYXI,NNOX,ESTA,SWAV,FONR,BSX,XTNT,LNSR,SYK,AXNX,EW,TLIS,RCEL,ABT,IRIX,VMD,ALGN,STE,CLPT,TMDX,ANIK,EDAP,MDT,LIVN,AHCO,OWLT,TNDM,AXGN,SMLR,ZBH,SRDX,GMED,IRMD,TCMD,SGHT,SNN,SILK,OFIX,ATEC,BIO,INGN,DCTH,MASS,ARAY,INSP,TMCI,PEN,VREX,PROF,AVNS,BFLY,ASXC,IART,NMTC,SSKN,QIPT,INMD,SIBN,LUNG,PODD,LUCD,TELA,CNMD,KIDS,PETV,AEMD,MDGS,INVO,NARI,HSDT,AVGR,DYNT,NVRO,THMO,RBOT,XAIR,APYX,NAOV,MOVE,AFIB,VVOS,VERO,PAVM,CTSO,NUWE,CUTR,RSLS,OM,SINT,BSGM,BIOL"
132,Staffing & Employment Services,Industrials,80.69,19,20,28,13,"KELYB,KELYA,BZ,ASGN,KFY,BBSI,TNET,HSII,KFRC,ADP,PAYX,RHI,BGSF,UPWK,MAN,MHH,NSP,ZIP,DHX,HSON,JOB,RCRT,TBI,CCRN,HQI,IPDN,STAF,PIXY"
133,Insurance Brokers,Financial Services,80.59,18,15,12,62,"ERIE,BRO,BRP,CRVL,AJG,MMC,SLQT,AON,EHTH,GOCO,FANH,HUIZ,TIRX,RELI"
134,REITâ€”Diversified,Real Estate,80.31,17,41,71,41,"AAT,ALEX,AHH"
135,Communication Equipment,Technology,80.12,17,26,5,4,"MINM,CLRO,CRNT,PWFL,FEIM,PI,AIRG,JNPR,MSI,AUDC,HPE,HLIT,CIEN,ITRN,ZBRA,AVNW,ERIC,ITI,SONM,VIAV,NOK,CSCO,NTGR,DGII,NTIP,BOSC,KN,LITE,BKTI,GILT,SATS,INFN,OCC,AMPG,FKWL,CLFD,ONDS,INSG,KVHI,UTSI,VISL,LTRX,UI,ADTN,SILC,DZSI,VSAT,EXTR,CMBM,AKTS,CMTL,CASA,SYTA,BOXL,COMM,CAMP"
136,Resorts & Casinos,Consumer Cyclical,79.89,16,23,13,35,"RRR,PLYA,MSC,WYNN,MCRI,HGV,LVS,MGM,BYD,MTN,VAC,BALY,GDEN,CZR,FLL,MLCO,PENN,CNTY"
137,Leisure,Consumer Cyclical,79.77,16,40,49,38,"VSTO,CUK,GOLF,POOL,JAKK,FUN,OSW,AOUT,MAT,BC,HAS,SIX,CLAR,XPOF,ESCA,PLNT,LTH,YETI,JOUT,FNKO,PLBY,MANU,SPWH,PTON"
138,Beverages—Brewers,Consumer Defensive,78.92,15,29,34,58,"FMX,TAP,BUD,CCU,SAM,SBEV"
139,Tobacco,Consumer Defensive,78.68,14,13,16,19,"TPB,MO,PM,BTI,RLX,VGR,UVV,KAVL"
140,Utilities—Diversified,Utilities,77.94,14,12,24,32,"OTTR,PEG,CIG,MGEE,UTL,ELP,SRE,BIP,BKH,AVA,EXC,NWE,HE,MNTK"
141,Financial Conglomerates,Financial Services,77.75,13,17,11,88,"JEF,VOYA,RILYP,RILYL,RILY"
142,Consumer Electronics,Technology,77.56,12,20,30,6,"HBB,VZIO,HEAR,SONO,UEIC,AAPL,SONY,MSN,ATER,LPL,VOXX,KOSS,VIOT,GPRO,VUZI,IRBT"
143,Utilities—Renewable,Utilities,77.56,12,24,9,3,"ELLO,HTOO,RNW,CREG,BEP,BEPC,ORA,AY,CWEN,NEP"
144,Personal Services,Consumer Cyclical,77.17,11,14,14,77,"BFAM,HRB,ROL,MRM,SCI,FTDR,CSV,EM,RGS,MED,WW"
145,Silver,Basic Materials,77.13,11,0,18,10,"SVM,FSM,PAAS,AG,EXK,MAG"
146,Confectioners,Consumer Defensive,76.93,10,12,8,12,"MDLZ,HSY,TR,RMCF"
147,Agricultural Inputs,Basic Materials,76.57,9,4,3,2,"CGA,CF,CTVA,BIOX,SEED,SMG,NTR,ICL,UAN,FMC,MOS,IPI,MGPI,AVD,YTEN,RKDA,SVFD"
148,Pollution & Treatment Controls,Industrials,76.48,9,9,35,74,"FSS,CLIR,PCT,FTEK,TOMZ,CLWT,LIQT,PCTTU,ERII"
149,Luxury Goods,Consumer Cyclical,75.82,8,16,6,5,"TPR,SIG,MYTE,MOV,BGI,CTHR,FOSL"
150,Electronic Gaming & Multimedia,Communication Services,75.62,8,6,12,18,"SE,NGMS,BRAG,BHAT,GRVY,RBLX,EA,TTWO,GIGM,SKLZ,INSE,BILI,NCTY,PLTK,GDEV,MSGM,MYPS,GAME,VS"
151,Other Industrial Metals & Mining,Basic Materials,75.52,7,4,10,23,"TMC,TGB,NEXA,NAK,MTRN,TECK,WRN,TMQ,RIO,BHP,EMX,FURY,VALE,XPL,UAMY,GSM,NMG,MP,CMP,USAS,LGO,CHNR,WWR,SLI,PLL"
152,Textile Manufacturing,Consumer Cyclical,75.22,6,17,26,21,"CRWS,AIN,CULP,UFI,DXYN"
153,Real Estateâ€”Development,Real Estate,74.6,6,33,0,1,"ARL,AEI"
154,Utilitiesâ€”Diversified,Utilities,74.38,5,16,30,6,"ALE,AES"
155,Health Information Services,Healthcare,74.11,4,14,4,4,"FORA,HQY,VEEV,OPRX,EVH,GDRX,ICAD,SOPH,HSTM,RCM,AGTI,SLP,PGNY,PHR,PINC,PRVA,ACCD,SDGR,STRM,HCAT,SHCR,TXG,WORX,TDOC,SY,OMCL,AMWL,HCTI,ZCMD,CMAX"
156,Beverages—Wineries & Distilleries,Consumer Defensive,72.2,4,2,1,3,"STZ,DEO,WVVIP,WVVI,NAPA,EAST,VWE"
157,Recreational Vehicles,Consumer Cyclical,72.17,3,11,7,7,"PATK,HOG,CWH,REE,THO,WGO,LCII,PII,DOOO,MPX,ONEW,MCFT,MBUU,VEEE,FOXF,FUV,EZGO,VMAR"
158,Real Estate—Diversified,Real Estate,71.28,3,3,2,33,"CHCI,JOE,NEN,STRS,VINO,TPHS"
159,Broadcasting,Communication Services,67.93,2,6,19,8,"NWS,NWSA,LSXMA,LSXMK,NXST,FWONK,FWONA,SGA,SBGI,TGNA,FOXA,BBGI,LSXMB,SIRI,FOX,CMLS,AMCX,TV,GTN,CURI,FUBO,IHRT,MDIA,SSP,UONE,UONEK,CSSE,SJ,EVC,CSSEP"
160,Auto Manufacturers,Consumer Cyclical,67.12,1,3,4,51,"BLBD,STLA,TM,RACE,LI,HMC,GM,F,HYZN,XPEV,GP,TSLA,NIU,NIO,NKLA,AYRO,WKHS,SOLO,GOEV,VLCN,FSR"
161,REITâ€”Hotel & Motel,Real Estate,65.85,1,1,6,8,"APLE,AHT"
162,Utilitiesâ€”Renewable,Utilities,53.93,0,0,0,0,"AQN,ADN"
163,Solar,Technology,50.07,0,1,1,0,"FSLR,BEEM,ENPH,JKS,CSIQ,ISUN,SHLS,SOL,ARRY,SPI,RUN,VVPR,SEDG,SPWR,FTCI,MAXN,NOVA"
